year;data_pop;ygr;gr;duration
1806;1270276.8231881193;1.0064368132781598;1.0064368132781598;1
1807;1278453.3579105553;1.0064684586286567;1.0064684586286567;1
1808;1290700.980564867;1.0065231425697185;1.0065231425697185;1
1809;1306368.407075967;1.006476206021414;1.006476206021414;1
1810;1315728.7180200573;1.0065135496612658;1.0065135496612658;1
1811;1366130.7823656332;1.0065252944722654;1.0065252944722654;1
1812;1375196.1880081953;1.006566050103332;1.006566050103332;1
1813;1384879.7950805682;1.0065295462180883;1.0065295462180883;1
1814;1393922.4317090432;1.0065974860409024;1.0065974860409024;1
1815;1403193.815494345;1.006677146358672;1.006677146358672;1
1816;1417353.1459699841;1.0063864320522133;1.0063864320522133;1
1817;1426404.9755307124;1.0064216238320336;1.0064216238320336;1
1818;1458848.8117157114;1.0066840082173667;1.0066840082173667;1
1819;1469766.769161115;1.0067082027724734;1.0067082027724734;1
1820;1479626.2626768912;1.0067311034602362;1.0067311034602362;1
1821;1490204.7801334513;1.0067521465596088;1.0067521465596088;1
1822;1500696.8612127418;1.0067717063696362;1.013589268746429;2
1824;1522849.0782792792;1.0068192149839121;1.0068192149839121;1
1825;1533233.713532118;1.0068418767712355;1.0068418767712355;1
1826;1544431.9096616087;1.0068654076486732;1.0068654076486732;1
1827;1578936.0643070552;1.0068911855106246;1.0068911855106246;1
1828;1589816.8056356108;1.0069142529694686;1.0069142529694686;1
1829;1600888.2012048876;1.0069458518696122;1.0069458518696122;1
1830;1614826.7335102675;1.0069952357384546;1.0069952357384546;1
1831;1641302.8271879307;1.0068762285972406;1.0068762285972406;1
1832;1652620.8006249724;1.0069030712632248;1.0069030712632248;1
1833;1664028.9597827743;1.006898294924174;1.006898294924174;1
1834;1676015.9223097216;1.0069217524274323;1.0069217524274323;1
1835;1696580.8895883844;1.0068837980663201;1.0068837980663201;1
1836;1715555.8098354884;1.0065096510992246;1.0065096510992246;1
1837;1752162.4795987657;1.0065188555163427;1.0065188555163427;1
1838;1766202.5736444273;1.0065858611285192;1.0065858611285192;1
1839;1777834.5385192833;1.0066812662325981;1.0066812662325981;1
1840;1789857.7243886387;1.006763585224277;1.0135729165336398;2
1842;1814291.6622996016;1.0068981459972077;1.0278794057393563;4
1846;1865669.910786325;1.0072171754539276;1.0144864385293881;2
1848;1892824.7860124721;1.0073527264843074;1.014759515555368;2
1850;2163196.767253982;1.003324850626098;1.0;0
